,Attrition_Flag,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,credit_limit_bins,Customer_Age_bins,Total_Revolving_Bal_bins,Dependent_count_bins,Months_on_book_bins,Months_Inactive_12_mon_bins,Total_Relationship_Count_bins,Contacts_Count_12_mon_bins,Total_Trans_Amt_bins,Avg_Open_To_Buy_bins,Total_Amt_Chng_Q4_Q1_bins,Total_Ct_Chng_Q4_Q1_bins,Total_Trans_Ct_bins,Avg_Utilization_Ratio_bins
0,Existing Customer,M,High School,Married,$60K - $80K,Blue,mid,43 - 57,low,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,mid,low -mid,low -mid,10 - 53,0 - 0.3
1,Existing Customer,F,Graduate,Single,Less than $40K,Blue,low,43 - 57,mid,3 - 5,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,high,10 - 53,0 - 0.3
2,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,low,43 - 57,low,3 - 5,28 - 42,1 - 3,4 ,1 - 3,less than 6500,low,high,high,10 - 53,0 - 0.3
3,Existing Customer,F,High School,Unknown,Less than $40K,Blue,low,26 - 42,high,3 - 5,28 - 42,4 - 6,1 - 3,1 - 3,less than 6500,low,low -mid,high,10 - 53,0.6 - 1
4,Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,low,26 - 42,low,3 - 5,13 - 27,1 - 3,5 - 6,1 - 3,less than 6500,low,high,high,10 - 53,0 - 0.3
5,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,1 - 3,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
6,Existing Customer,M,Unknown,Married,$120K +,Gold,high,43 - 57,high,3 - 5,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,high,low -mid,low -mid,10 - 53,0 - 0.3
7,Existing Customer,M,High School,Unknown,$60K - $80K,Silver,high,26 - 42,mid,0 - 2,13 - 27,1 - 3,1 - 3,1 - 3,less than 6500,high,high,low -mid,10 - 53,0 - 0.3
8,Existing Customer,M,Uneducated,Single,$60K - $80K,Blue,mid,26 - 42,high,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,mid,,low -mid,10 - 53,0 - 0.3
9,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,low,43 - 57,mid,0 - 2,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
10,Existing Customer,M,Uneducated,Unknown,$120K +,Blue,low,26 - 42,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
11,Existing Customer,M,Unknown,Married,$40K - $60K,Blue,low,57 +,mid,0 - 2,43 - 56,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
12,Existing Customer,M,College,Single,$80K - $120K,Blue,low,43 - 57,low,0 - 2,28 - 42,4 - 6,1 - 3,1 - 3,less than 6500,mid,,high,10 - 53,0 - 0.3
13,Existing Customer,M,Graduate,Unknown,$60K - $80K,Blue,low,26 - 42,mid,3 - 5,28 - 42,1 - 3,5 - 6,1 - 3,less than 6500,low,low -mid,low -mid,10 - 53,0 - 0.3
