name,price,size,color,rpm,airflow,noise_level,pwm
Corsair iCUE SP120 RGB ELITE 3-Pack,59.99,120,Black / White,"[400, 1500]",,,True
Noctua NF-A12x25 PWM chromax.black.swap,34.95,120,Black,"[450, 2000]",60.09,22.6,True
Lian Li Uni Fan SL-Infinity 3-Pack,84.83,120,Black,,"[0, 61.3]","[0, 29]",True
ARCTIC P12 PST 5-Pack,34.65,120,Black,"[200, 1800]",56.3,22.5,True
Lian Li UNI SL120 3-Pack,86.34,120,White,"[800, 1900]",58.54,"[17, 31]",True
Lian Li Uni Fan SL-Infinity 3-Pack,79.98,120,White,,"[0, 61.3]","[0, 29]",True
Lian Li UNI FAN SL V2 3-Pack,82.9,120,Black / Silver,"[250, 2000]",64.5,29.2,True
Lian Li UNI SL120 3-Pack,95.17,120,Black,"[800, 1900]",58.54,"[17, 31]",True
ARCTIC P12,9.99,120,Black,"[200, 1800]",56.3,,True
Noctua A14 PWM chromax.black.swap,26.95,140,Multicolor,"[300, 1500]",82.52,24.6,True
Lian Li UNI FAN SL V2 3-Pack,81.06,120,White / Silver,"[250, 2000]",64.5,29.2,True
Noctua P12 redux-1700 PWM,15.95,120,Gray,"[450, 1700]",70.75,25.1,True
Noctua A12x25 PWM,32.95,120,Brown,"[450, 2000]","[49.73, 60.1]","[18.8, 22.6]",True
Corsair iCUE SP120 RGB ELITE,23.05,120,Black / White,"[400, 1500]",,,True
ARCTIC P12 Max,8.99,120,Black,"[200, 3300]","[81.04, 84.04]",,True
Corsair LL120 3-Pack,82.99,120,Black,"[600, 1500]",43.25,24.8,True
NZXT F120 RGB 3-Pack,70.17,120,Black,"[500, 1800]","[13.94, 50.18]","[17.2, 27.5]",True
Thermalright TL-C12C-S 3-Pack,15.39,120,Black,1550,66.17,25.6,True
Corsair iCUE SP RGB ELITE 3-Pack,59.99,120,White,"[400, 1500]",47.73,28,True
Corsair iCUE AF120 RGB ELITE 3-Pack,104.99,120,Black,"[550, 2100]","[13.8, 65.57]","[5, 34.1]",True
Deepcool FC120-3 IN 1 3-Pack,49.99,120,Black,"[500, 1800]",61.91,28,True
Lian Li Uni Fan SL-Infinity,29.99,120,Black,,"[0, 61.3]","[0, 29]",True
NZXT F120 RGB 3-Pack,89.99,120,White,"[500, 1800]","[13.94, 50.18]","[17.2, 27.5]",True
Thermalright TL-C12C 3-Pack,11.99,120,Black,1550,66.17,25.6,True
be quiet! Pure Wings 2,10.9,120,Black,"[500, 1500]","[51.4, 87]",20.2,True
Noctua A14 PWM,23.95,140,Brown,"[300, 1500]","[68, 82.5]","[19.2, 24.6]",True
Fractal Design Prisma AL18 RGB PWM 2-Pack,396.0,180,Black,"[300, 1200]","[43.1, 146.8]","[14.9, 37.4]",True
Noctua F12 industrialPPC-3000 PWM,27.95,120,Brown / Black,"[750, 3000]",109.89,43.5,True
Lian Li UNI FAN SL V2,26.99,120,Black / Silver,"[250, 2000]",64.5,29.2,True
Corsair LL120 3-Pack,83.17,120,White,2200,63,36,True
Lian Li Uni Fan SL-Infinity,24.99,120,White,,"[0, 61.3]","[0, 29]",True
Thermalright TL-C12C-S 3-Pack,15.39,120,White,1550,66.17,25.6,True
NZXT F120 RGB,24.99,120,Black,"[500, 1800]","[13.94, 50.18]","[17.2, 27.5]",True
Noctua A14 industrialPPC-3000 PWM,29.95,140,Brown / Black,"[800, 3000]",158.5,41.3,True
ARCTIC P12 PST A-RGB 0dB 3-Pack,,120,Black,,48.8,,True
ARCTIC P14 PST,11.99,140,Black,"[200, 1700]",72.8,22.5,True
Corsair iCUE QL120 3-Pack,115.85,120,Black,1500,41.8,26,True
ARCTIC P12 PST,8.98,120,White,"[200, 1800]",56.3,,True
Lian Li UNI FAN SL V2,26.99,120,White / Silver,"[250, 2000]",64.5,29.2,True
be quiet! Silent Wings Pro 4,31.9,120,Black,3000,83.9,36.9,True
Noctua F12 PWM,14.99,120,Brown,"[300, 1500]","[43.73, 54.97]","[18.6, 22.4]",True
Cooler Master MasterFan MF Halo 3-Pack,54.99,120,Black,"[650, 1800]",47.2,"[6, 30]",True
Lian Li Uni Fan SL-Infinity,26.55,140,Black,"[200, 1600]",72.7,28,True
Corsair iCUE ML RGB ELITE Premium 3-Pack,49.99,120,Black,"[450, 2000]","[14.86, 58.1]","[10, 30.4]",True
be quiet! Pure Wings 2,12.12,140,Black,"[400, 1000]",61.2,19.8,True
Corsair iCUE AF120 RGB ELITE 3-Pack,104.99,120,White,"[550, 2100]","[13.8, 65.57]","[5, 34.1]",True
Deepcool FK120 3-Pack,49.99,120,,"[500, 1850]",68.99,28,True
Noctua A12x15 PWM chromax.black.swap,33.07,120,Black / Multicolor,"[450, 1850]",55.44,23.9,True
Corsair LL120,38.08,120,Black,"[600, 1500]",43.25,24.8,True
Cooler Master SickleFlow 3-Pack,49.91,120,Black,"[650, 1800]",62,"[8, 27]",True
ARCTIC P12 Slim PWM PST,9.99,120,Black,"[300, 2100]",41.1,,True
Deepcool FC120 WHITE-3 IN 1 3-Pack,49.99,120,White,"[500, 1800]",61.91,28,True
Corsair AF120 ELITE,19.98,120,Black,"[400, 1850]","[10.9, 59.1]",31.5,True
Lian Li UNI FAN AL120 V2 3-Pack,89.99,120,Black,"[250, 2000]",77.3,28.7,True
Phanteks PH-F120T30 3-Pack,85.99,120,Black / Gray,,67,27.3,True
Lian Li UNI SL120,29.52,120,White,"[800, 1900]",58.54,"[17, 31]",True
Lian Li UNI FAN SL V2,29.98,140,Black / Silver,"[250, 1600]",77.6,29,True
ARCTIC P14 PST 5-Pack,39.81,140,Black,"[200, 1700]",72.8,22.5,True
Noctua F12 PWM chromax.black.swap,24.75,120,Multicolor,"[300, 1500]",54.97,22.4,True
NZXT F120 RGB,34.98,120,White,"[500, 1800]","[13.94, 50.18]","[17.2, 27.5]",True
be quiet! Silent Wings Pro 4,41.19,140,Black,2400,97.41,36.8,True
Phanteks PH-F120T30,33.98,120,Black / Gray,,67,27.3,True
Lian Li Uni Fan SL-Infinity,21.31,140,White,"[200, 1600]",72.7,28,True
ARCTIC P12 5-Pack,23.99,120,Black,1800,56.3,,False
Corsair iCUE SP RGB ELITE,20.99,120,White,"[400, 1500]",47.73,28,True
Noctua S12B redux-1200 PWM,14.95,120,Black / Gray,"[400, 1200]",59.1,18.1,True
be quiet! Light Wings PWM high-speed 3-Pack,79.9,120,Black,2500,52.3,31,True
Noctua P14s redux-1500 PWM,16.95,140,Black / Gray,"[450, 1500]",78.69,25.8,True
Corsair iCUE QL120 3-Pack,115.58,120,White / Black,"[525, 1500]",41.8,26,True
ARCTIC P12,8.84,120,Black / Transparent,"[200, 1800]",56.3,22.5,True
Asus TUF Gaming TF120 ARGB 3-Pack,59.99,120,Black / White,"[250, 1900]",76,29,True
be quiet! Silent Wings 4,23.9,120,Black,1600,48.7,18.9,True
NZXT AER RGB 2,29.99,120,White,"[500, 1500]","[17.48, 52.44]","[22, 33]",True
NZXT F140 RGB 2-Pack,69.98,140,Black,"[500, 1800]","[24.85, 89.48]","[20, 32.5]",True
Cooler Master SickleFlow,18.98,120,Black,"[650, 1800]",62,"[8, 27]",True
NZXT F120Q,14.99,120,Black,"[500, 1200]","[27.77, 64]","[16.7, 22.5]",True
Lian Li UNI SL120,28.37,120,Black,"[800, 1900]",58.54,"[17, 31]",True
ARCTIC P12,8.49,120,Black,1800,56.3,,False
Phanteks D30-120 3-Pack,89.99,120,Black,"[250, 2000]",64.3,30.2,True
ARCTIC P12 PST A-RGB 0dB,16.98,120,Black,,48.8,,True
Corsair AF120 (2018) 3-Pack,38.44,120,Black / White,1400,52,26,False
Corsair iCUE SP140 RGB ELITE 2-Pack,62.99,140,Black / White,"[405, 1200]",,,True
Noctua S12A PWM chromax.black.swap,22.9,120,Multicolor,"[300, 1200]",63.27,17.8,True
Lian Li UNI FAN AL120 V2 3-Pack,89.99,120,White,"[250, 2000]",77.3,28.7,True
upHere T7SYC7 6-Pack,43.99,120,Black,"[600, 1700]",,"[16.1, 27.7]",True
NZXT F120 RGB Core,,120,White,"[500, 1800]",78.86,33.88,True
NZXT F120P,24.98,120,Black,"[500, 1800]","[21.67, 78.02]","[17.9, 30.6]",True
Cooler Master SickleFlow 120 ARGB 3 In 1 3-Pack,56.0,120,White,"[650, 1800]",62,"[8, 27]",True
Phanteks PH-F120SK,16.98,120,Black / White,"[500, 1500]",50,27,True
Corsair LL120,39.99,120,White,2200,63,36,True
Deepcool FC120,19.98,120,Black,"[500, 1800]",,,True
be quiet! Silent Wings 4,24.9,140,Black,1100,51.3,13.6,True
Corsair iCUE AF140 RGB ELITE 2-Pack,99.99,140,Black,"[500, 1700]","[19.5, 89]","[5, 33.8]",True
Noctua A12x15 PWM,28.07,120,Brown,"[450, 1850]","[41.67, 55.44]","[16.8, 23.9]",True
Lian Li UNI FAN SL V2,25.98,140,White / Silver,"[250, 1600]",77.6,29,True
ARCTIC P14 PWM PST A-RGB,18.94,140,Black,,"[0, 68]",,True
Cooler Master MasterFan MF Halo,17.98,120,Black,"[650, 1800]",47.2,"[6, 30]",True
Lian Li ST120 3-Pack,53.65,120,Black,"[800, 1900]",69.17,32,True
Lian Li ST120 3-Pack,39.99,120,White,"[800, 1900]",69.17,32,True
Phanteks D30-120 3-Pack,86.99,120,White,"[250, 2000]",64.3,30.2,True
Corsair iCUE QL120,41.99,120,Black,"[525, 1500]",41.8,26,True
NZXT F120 RGB Core,,120,Black,"[500, 1800]",78.86,33.88,True
ARCTIC F12 PST 5-Pack,29.99,120,Black,"[230, 1350]",53,22.5,True
be quiet! Pure Wings 2,10.9,120,Black,2000,65.51,36.9,True
ID-COOLING XF-12025-ARGB-TRIO 3-Pack,24.99,120,Black / White,"[700, 1500]",62,"[18, 26.4]",True
Thermaltake SWAFAN EX12 RGB 3-Pack,94.99,120,White,"[500, 2000]","[56.26, 57.11]","[30.5, 32.5]",False
Phanteks D30-120 Reversed 3-Pack,89.99,120,Black,"[250, 2000]",61.5,31.8,True
Lian Li Uni Fan SL 2-Pack,69.42,140,White,"[500, 1500]",70.5,30,True
Cooler Master MasterFan MF Halo 3-Pack,78.69,120,White,"[650, 1800]",47.2,"[6, 30]",True
Noctua A9x14 HS-PWM chromax.Black.swap,21.95,92,Black / Multicolor,"[600, 2500]",33.84,23.6,True
Lian Li Uni Fan SL 2-Pack,79.99,140,Black,"[500, 1500]",70.5,30,True
NZXT F120 RGB DUO 3-Pack,114.99,120,Black,"[500, 1800]",48.58,29,True
Corsair AF140L,4.99,140,Black / Gray,1000,67.43,,False
Cooler Master SickleFlow,9.99,120,Black,"[650, 1800]",62,"[8, 27]",True
Deepcool RF M 5-Pack,44.99,120,Black / White,"[500, 1500]",56.5,27,True
Phanteks PH-F120SK 3-Pack,34.99,120,Black / White,"[500, 1500]",50,27,True
NZXT F140 RGB 2-Pack,69.98,140,White,"[500, 1800]","[24.85, 89.48]","[20, 32.5]",True
NZXT AER RGB 2,,120,Black,"[500, 1500]","[17.48, 52.44]","[22, 33]",True
be quiet! Light Wings PWM 3-Pack,79.9,120,Black,1700,41.51,20.6,True
Thermaltake Riing Plus TT 5-Pack,119.99,120,Black,"[500, 1500]",48.34,24.7,True
Noctua A8 PWM,16.95,80,Brown,"[450, 2200]","[25.84, 32.66]","[13.8, 17.7]",True
Lian Li UNI FAN AL120 V2,27.99,120,Black,"[250, 2000]",77.3,28.7,True
Thermalright TL-C12C,6.99,120,Black,1550,66.17,25.6,True
Phanteks M25-120 PWM D-RGB 3-Pack,38.98,120,Black,"[500, 2000]",84.26,35.7,True
