name,price,type,color,psu,side_panel,external_525_bays,internal_35_bays
Corsair 4000D Airflow,89.99,ATX Mid Tower,Black,,Tinted Tempered Glass,0,2
NZXT H5 Flow,94.99,ATX Mid Tower,Black,,Tempered Glass,0,1
Lian Li O11 Dynamic EVO,154.9,ATX Mid Tower,White / Gray,,Tempered Glass,0,6
Deepcool CC560,58.98,ATX Mid Tower,Black,,Tempered Glass,0,2
Lian Li O11 Dynamic EVO,154.99,ATX Mid Tower,Black,,Tinted Tempered Glass,0,6
NZXT H9 Flow,166.98,ATX Mid Tower,White,,Tempered Glass,0,2
Corsair iCUE 4000X RGB,119.99,ATX Mid Tower,Black,,Tempered Glass,0,2
NZXT H5 Flow,79.98,ATX Mid Tower,White,,Tempered Glass,0,1
Fractal Design North,128.98,ATX Mid Tower,Black,,Tempered Glass,0,2
Thermaltake Versa H18,43.99,MicroATX Mini Tower,Black,,Tempered Glass,0,2
Corsair 4000D Airflow,89.99,ATX Mid Tower,White,,Tinted Tempered Glass,0,2
Fractal Design Pop Air,79.99,ATX Mid Tower,Black,,Tempered Glass,2,2
Phanteks Eclipse G360A,79.99,ATX Mid Tower,Black,,Tempered Glass,0,2
NZXT H9 Flow,159.99,ATX Mid Tower,Black,,Tempered Glass,0,2
Lian Li LANCOOL 216,89.99,ATX Mid Tower,Black,,Tempered Glass,0,2
Corsair 5000D AIRFLOW,139.99,ATX Mid Tower,Black,,Tempered Glass,0,2
Lian Li O11 Dynamic Mini Snow Edition,114.99,ATX Mid Tower,White,,Tempered Glass,0,2
NZXT H7 Flow,129.99,ATX Mid Tower,Black,,Tempered Glass,0,2
Lian Li PC-O11 Dynamic,119.99,ATX Full Tower,Black,,Tempered Glass,0,3
Deepcool MACUBE 110,49.99,MicroATX Mini Tower,Black,,Tempered Glass,0,2
Fractal Design Pop Air RGB,89.99,ATX Mid Tower,Black,,Tempered Glass,2,2
MagniumGear Neo Micro V2,34.99,MicroATX Mid Tower,Black,,Tempered Glass,0,2
Cooler Master MasterBox Q300L,39.99,MicroATX Mini Tower,Black,,Acrylic,0,1
HYTE Y60,199.99,ATX Mid Tower,White / Black,,Tempered Glass,0,2
Fractal Design Pop Mini Air,89.99,MicroATX Mid Tower,Black,,Tempered Glass,2,2
NZXT H510 Flow,94.98,ATX Mid Tower,White,,Tempered Glass,0,3
Cooler Master MasterBox NR200,69.99,Mini ITX Desktop,Black,,,0,2
Corsair 7000D AIRFLOW,204.99,ATX Full Tower,Black,,Tempered Glass,0,6
Asus Prime AP201,74.99,MicroATX Mini Tower,Black,,Mesh,0,3
Fractal Design Terra,,Mini ITX Desktop,Black / Brown,,Mesh,0,0
Fractal Design Pop XL Air,109.99,ATX Full Tower,Black,,Tempered Glass,2,3
Lian Li O11 Dynamic Mini,92.0,ATX Mid Tower,Black,,Tempered Glass,0,2
Fractal Design Meshify C,99.99,ATX Mid Tower,Black,,Tinted Tempered Glass,0,2
Montech X3 Mesh,59.99,ATX Mid Tower,Black,,Tempered Glass,0,2
NZXT H510,89.0,ATX Mid Tower,Black,,Tempered Glass,0,2
Corsair iCUE 4000X RGB,129.99,ATX Mid Tower,White,,Tempered Glass,0,2
Montech AIR 100 ARGB,,MicroATX Mid Tower,Black,,Tempered Glass,0,2
Lian Li LANCOOL 216,96.99,ATX Mid Tower,Black,,Tempered Glass,0,2
Deepcool MATREXX 40 3FS,49.99,MicroATX Mini Tower,Black,,Tempered Glass,0,2
Fractal Design North,127.98,ATX Mid Tower,White,,Tempered Glass,0,2
Montech AIR 100 ARGB,79.98,MicroATX Mid Tower,White,,Tempered Glass,0,2
Cooler Master MasterBox NR200P,144.99,Mini ITX Desktop,Black,,Tempered Glass,0,2
Deepcool CH370,61.98,MicroATX Mid Tower,Black,,Tempered Glass,0,2
HYTE Y60,195.99,ATX Mid Tower,Black,,Tempered Glass,0,2
NZXT H9 Elite,239.99,ATX Mid Tower,White,,Tempered Glass,0,2
Lian Li LANCOOL 216,103.99,ATX Mid Tower,White,,Tempered Glass,0,2
Lian Li O11 Air Mini,109.99,ATX Mid Tower,Black,,Tempered Glass,0,4
Lian Li LANCOOL 215,94.49,ATX Mid Tower,Black,,Tempered Glass,0,2
Fractal Design Pop Air,89.99,ATX Mid Tower,White,,Tempered Glass,2,2
Lian Li PC-O11 Dynamic,119.99,ATX Full Tower,White,,Tempered Glass,0,3
Fractal Design Focus 2 RGB,53.98,ATX Mid Tower,Black,,Tempered Glass,0,2
BitFenix Nova Mesh M ARGB,59.0,MicroATX Mini Tower,Black,,Tempered Glass,0,2
be quiet! Pure Base 500DX,89.9,ATX Mid Tower,Black,,Tempered Glass,0,2
Deepcool CC560,61.98,ATX Mid Tower,White / Black,,Tempered Glass,0,2
Fractal Design Torrent,127.98,ATX Mid Tower,Black,,Tinted Tempered Glass,0,2
Fractal Design Terra,,Mini ITX Desktop,Green / Brown,,Mesh,0,0
NZXT H5 Elite,139.99,ATX Mid Tower,Black,,Tempered Glass,0,1
Corsair iCUE 4000D RGB AIRFLOW,120.99,ATX Mid Tower,Black,,Tempered Glass,0,2
Zalman S2,54.99,ATX Mid Tower,Black,,Acrylic,0,2
Lian Li LANCOOL 205M MESH,94.99,MicroATX Mini Tower,Black,,Tempered Glass,0,2
Fractal Design Pop Mini Air,89.99,MicroATX Mid Tower,White,,Tempered Glass,2,2
Fractal Design Focus G,64.98,ATX Mid Tower,Black,,Acrylic,2,2
Thermaltake Versa H17,39.99,MicroATX Mini Tower,Black,,,0,2
NZXT H9 Elite,239.99,ATX Mid Tower,Black,,Tempered Glass,0,2
Corsair iCUE 7000X RGB,299.99,ATX Full Tower,Black,,Tempered Glass,0,6
Fractal Design Core 1000 USB 3.0,37.98,MicroATX Mid Tower,Black,,,2,2
Lian Li A4-H20 X4,152.99,Mini ITX Desktop,Black,,Mesh,0,0
NZXT H510 Elite,109.99,ATX Mid Tower,White / Black,,Tempered Glass,0,2
Lian Li LANCOOL III RGB,142.94,ATX Mid Tower,Black,,Tempered Glass,0,4
Fractal Design Terra,,Mini ITX Desktop,Silver / Brown,,Mesh,0,0
NZXT H7 Flow,129.99,ATX Mid Tower,White,,Tempered Glass,0,2
Deepcool MACUBE 110,49.99,MicroATX Mini Tower,White,,Tempered Glass,0,2
Deepcool MATREXX 50 ADD-RGB 4F,85.98,ATX Mid Tower,Black,,Tempered Glass,0,2
Phanteks Enthoo Elite,899.99,ATX Full Tower,Black,,Tinted Tempered Glass,1,6
Fractal Design North,128.98,ATX Mid Tower,Black,,Mesh,0,2
HYTE Y40,148.99,ATX Mid Tower,Black,,Tempered Glass,0,1
