name,price,rpm,noise_level,color,size
Cooler Master Hyper 212 Black Edition,49.7,"[800, 2000]","[6.5, 26]",,
Cooler Master MASTERLIQUID ML240L RGB V2,89.99,"[650, 1800]","[6, 27]",Black,240.0
be quiet! Dark Rock Pro 4,89.9,1500,"[12.8, 24.3]",Black,
Noctua NH-D15 chromax.black,119.95,"[300, 1500]","[19.2, 24.6]",Black,
be quiet! Pure Rock 2 Black,44.0,1500,"[19.1, 26.8]",Black,
NZXT Kraken Z73,284.99,"[500, 1800]","[21, 36]",Black,360.0
Deepcool AK400,34.99,"[500, 1850]",29,Black / Silver,
Thermalright Peerless Assassin 120 SE,34.9,1550,25.6,Black,
Noctua NH-D15,109.95,"[300, 1500]","[19.2, 24.6]",,
Corsair iCUE H100i ELITE CAPELLIX,250.36,2400,"[10, 37]",Black,240.0
ARCTIC Liquid Freezer II 360,,"[800, 2000]",,Black,360.0
Deepcool AK620,63.99,"[500, 1850]",28,Black / Silver,
Noctua NH-U12S chromax.black,89.95,"[300, 1500]","[18.6, 22.4]",Black,
Corsair iCUE H150i ELITE CAPELLIX,337.99,2400,"[10, 37]",Black,360.0
NZXT Kraken Elite 360 RGB,299.99,"[500, 1800]","[17.9, 30.6]",White,360.0
ARCTIC Liquid Freezer II 240,,"[200, 1800]",,Black,240.0
ID-COOLING FROSTFLOW X,54.99,"[700, 1800]","[18, 35.2]",,240.0
Deepcool AG400 BK ARGB,29.99,"[500, 2000]",31.6,Black,
Thermalright Assassin X 120 Refined SE,19.89,1550,25.6,Black / Silver,
Deepcool LT720,139.99,"[500, 2250]",32.9,Black / Gray,360.0
Corsair iCUE H150i ELITE CAPELLIX XT,184.99,"[550, 2100]","[5, 34.1]",Black,360.0
Corsair iCUE H100i RGB ELITE,119.99,"[400, 1850]","[19, 35.8]",Black,240.0
NZXT Kraken 240 RGB,159.99,"[500, 1800]","[17.9, 30.6]",White,240.0
NZXT Kraken X73,184.99,"[500, 2000]","[21, 36]",Black,360.0
NZXT Kraken Z73 RGB,515.92,"[500, 1500]","[22, 33]",Black,360.0
Deepcool AK620 ZERO DARK,69.98,"[500, 1850]",28,Black,
ID-COOLING SE-214-XT,19.98,"[500, 1500]","[13.8, 30.5]",Black,
NZXT Kraken X63,,"[500, 2000]","[21, 38]",Black,280.0
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,172.4,"[800, 1900]",32,White / Silver,360.0
Corsair iCUE H150i ELITE LCD XT,289.99,"[550, 2100]","[5, 34.1]",Black,360.0
Cooler Master Hyper 212 RGB Black Edition,,"[650, 2000]","[8, 30]",Black,
NZXT Kraken Z73 RGB,419.99,"[500, 1500]","[22, 33]",White / Black,360.0
Thermalright Peerless Assassin 120 SE ARGB,37.9,1550,25.6,Black,
Noctua NH-U12A chromax.black,129.94,"[450, 2000]","[18.8, 22.6]",Black,
Deepcool AK620,69.98,"[500, 1850]",28,White,
Thermalright Peerless Assassin 120 SE WHITE ARGB,38.9,1550,25.6,White,
Thermalright Assassin X Refined SE ARGB,19.89,1550,25.6,Black / Silver,
NZXT Kraken 240,139.98,"[500, 1800]","[17.9, 30.6]",Black,240.0
Deepcool LS720,139.99,"[500, 2250]",32.9,Black,360.0
Deepcool LT520,109.99,"[500, 2250]",32.9,Black / Gray,240.0
Thermalright Peerless Assassin,54.9,1550,25.6,Gray,
Noctua NH-U9S,59.95,"[400, 2000]","[16.3, 22.8]",,
NZXT Kraken Z63,254.99,"[500, 1800]","[21, 38]",Black,280.0
Noctua NH-L9i,44.95,"[600, 2500]","[14.8, 23.6]",Brown,
Cooler Master Hyper 212 RGB Black Edition,53.99,"[650, 2000]","[8, 30]",,
ARCTIC Liquid Freezer II 280,109.99,"[200, 1700]",,Black,280.0
Corsair iCUE H150i ELITE LCD XT,269.99,"[550, 2100]","[5, 31.1]",White / Gray,360.0
Corsair iCUE H150i RGB ELITE,179.99,"[400, 1850]","[19, 35.8]",Black,360.0
Deepcool AK400,31.99,"[500, 1850]",29,White,
Noctua NH-L9i chromax.black,54.95,"[600, 2500]","[14.8, 23.6]",Black,
Vetroo V5,34.99,"[800, 1700]",30.8,Black,
Thermalright Phantom Spirit 120 SE,42.9,1500,25.6,Black / Silver,
NZXT Kraken X53,,"[500, 2000]","[21, 36]",Black,240.0
Corsair iCUE H100i ELITE CAPELLIX XT,154.99,"[550, 2100]","[5, 34.1]",Black,240.0
Cooler Master MasterLiquid ML240L V2 RGB,89.99,"[650, 1800]","[8, 27]",White / Black,240.0
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,,"[800, 1900]",32,Black / Silver,360.0
Cooler Master MASTERLIQUID ML120L RGB V2,78.33,"[650, 1800]","[6, 27]",Black,120.0
Intel E97379-001,12.59,"[1200, 2800]",22,Silver / Black,
MSI MAG CORELIQUID 240R V2,93.99,"[500, 2000]","[14.3, 34.3]",Black,240.0
NZXT Kraken Elite 360 RGB,299.99,"[500, 1800]","[17.9, 30.6]",Black,360.0
