name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
AMD Ryzen 5 5600X,168.99,6,3.7,4.6,65,,True
AMD Ryzen 7 5800X,228.72,8,3.8,4.7,105,,True
Intel Core i7-13700K,381.99,16,3.4,5.4,125,Intel UHD Graphics 770,True
Intel Core i9-13900K,568.99,24,3.0,5.8,125,Intel UHD Graphics 770,True
AMD Ryzen 7 7800X3D,439.0,8,4.2,5.0,120,Radeon,True
Intel Core i5-13600K,308.95,14,3.5,5.1,125,Intel UHD Graphics 770,True
AMD Ryzen 5 5600,138.0,6,3.5,4.4,65,,True
Intel Core i5-12400F,149.97,6,2.5,4.4,65,,True
AMD Ryzen 7 7700X,299.0,8,4.5,5.4,105,Radeon,True
AMD Ryzen 5 7600X,229.0,6,4.7,5.3,105,Radeon,True
AMD Ryzen 7 5800X3D,329.99,8,3.4,4.5,105,,True
Intel Core i7-12700K,241.99,12,3.6,5.0,125,Intel UHD Graphics 770,True
AMD Ryzen 5 7600,212.52,6,3.8,5.1,65,Radeon,True
AMD Ryzen 5 5500,99.0,6,3.6,4.2,65,,True
AMD Ryzen 5 3600,104.99,6,3.6,4.2,65,,True
AMD Ryzen 7 5700X,178.0,8,3.4,4.6,65,,True
Intel Core i5-12600K,189.99,10,3.7,4.9,125,Intel UHD Graphics 770,True
AMD Ryzen 5 5600G,139.0,6,3.9,4.4,65,Radeon Vega 7,True
Intel Core i5-13400F,208.98,10,2.5,4.6,65,,True
AMD Ryzen 9 7900X,419.99,12,4.7,5.6,170,Radeon,True
AMD Ryzen 9 5900X,349.0,12,3.7,4.8,105,,True
Intel Core i3-12100F,88.12,4,3.3,4.3,58,,True
Intel Core i5-13600KF,289.99,14,3.5,5.1,125,,True
AMD Ryzen 9 7950X3D,557.0,16,4.2,5.7,120,Radeon,True
AMD Ryzen 7 5700G,165.94,8,3.8,4.6,65,Radeon Vega 8,True
AMD Ryzen 9 7950X,581.74,16,4.5,5.7,170,Radeon,True
Intel Core i9-12900K,344.99,16,3.2,5.2,125,Intel UHD Graphics 770,True
AMD Ryzen 5 4500,78.2,6,3.6,4.1,65,,True
Intel Core i7-13700KF,382.84,16,3.4,5.4,125,,True
Intel Core i5-13500,247.98,14,2.5,4.8,65,Intel UHD Graphics 770,True
AMD Ryzen 7 7700,296.31,8,3.6,5.3,65,Radeon,True
Intel Core i5-10400F,114.64,6,2.9,4.3,65,,True
AMD Ryzen 7 3700X,239.0,8,3.6,4.4,65,,True
Intel Core i3-13100F,118.99,4,3.4,4.5,58,,True
AMD Threadripper 3990X,4483.0,64,2.9,4.3,280,,True
Intel Core i9-13900KS,,24,3.0,6.0,150,Intel UHD Graphics 770,True
Intel Core i7-12700KF,219.99,12,3.6,5.0,125,,True
AMD Ryzen 9 5950X,390.0,16,3.4,4.9,105,,True
Intel Core i9-13900KF,535.99,24,3.0,5.8,125,,True
AMD Ryzen 5 4600G,104.0,6,3.7,4.2,65,Radeon Vega 7,True
Intel Core i3-10100F,75.83,4,3.6,4.3,65,,True
Intel Core i5-12400,172.99,6,2.5,4.4,65,Intel UHD Graphics 730,True
Intel Core i5-13400,228.0,10,2.5,4.6,65,Intel UHD Graphics 730,True
AMD Ryzen 3 4100,63.96,4,3.8,4.0,65,,True
AMD Ryzen 9 7900,391.31,12,3.6,5.4,65,Radeon,True
Intel Core i5-12600KF,219.0,10,3.7,4.9,125,,True
Intel Core i5-11400F,130.97,6,2.6,4.4,65,,True
AMD Ryzen 9 7900X3D,521.74,12,4.4,5.6,120,Radeon,True
Intel Core i7-9700K,339.0,8,3.6,4.9,95,Intel UHD Graphics 630,False
AMD Ryzen 5 2600,165.0,6,3.4,3.9,65,,True
Intel Core i7-11700K,272.87,8,3.6,5.0,125,Intel UHD Graphics 750,True
AMD Ryzen 3 3200G,72.75,4,3.6,4.0,65,Radeon Vega 8,False
AMD Ryzen 5 3600X,210.0,6,3.8,4.4,95,,True
Intel Core i7-10700K,283.95,8,3.8,5.1,125,Intel UHD Graphics 630,True
Intel Core i9-9900K,565.0,8,3.6,5.0,95,Intel UHD Graphics 630,True
Intel Core i5-11600K,184.0,6,3.9,4.9,125,Intel UHD Graphics 750,True
AMD Ryzen 7 2700X,220.0,8,3.7,4.3,105,,True
AMD Ryzen 9 3900X,365.0,12,3.8,4.6,105,,True
Intel Core i7-8700K,279.0,6,3.7,4.7,95,Intel UHD Graphics 630,True
Intel Core i7-13700,379.0,16,2.1,5.2,65,Intel UHD Graphics 770,True
Intel Core i3-12100,114.99,4,3.3,4.3,60,Intel UHD Graphics 730,True
Intel Core i5-9400F,135.0,6,2.9,4.1,65,,False
Intel Core i7-13700F,349.99,16,2.1,5.2,65,,True
Intel Core i7-7700K,310.0,4,4.2,4.5,91,Intel HD Graphics 630,True
Intel Core i3-13100,138.94,4,3.4,4.5,60,Intel UHD Graphics 730,True
Intel Core i7-12700F,284.99,12,2.1,4.9,65,,True
AMD Ryzen 7 3800X,275.99,8,3.9,4.5,105,,True
Intel Core i9-11900K,299.0,8,3.5,5.3,125,Intel UHD Graphics 750,True
Intel Core i5-10400,131.13,6,2.9,4.3,65,Intel UHD Graphics 630,True
Intel Core i9-10900K,341.94,10,3.7,5.3,125,Intel UHD Graphics 630,True
Intel Core i7-10700F,218.13,8,2.9,4.8,65,,True
Intel Core i7-6700K,220.0,4,4.0,4.2,91,Intel HD Graphics 530,True
Intel Core i5-9600K,219.99,6,3.7,4.6,95,Intel UHD Graphics 630,False
AMD Ryzen 5 3400G,121.99,4,3.7,4.2,65,Radeon Vega 11,True
Intel Core i5-10600K,175.48,6,4.1,4.8,125,Intel UHD Graphics 630,True
AMD Ryzen 5 2600X,215.0,6,3.6,4.2,95,,True
