name,price,channels,channel_wattage,pwm,form_factor,color
Thermaltake Commander FT,47.05,5,10.0,True,5.25,
Kingwin FPX-001,9.99,4,8.0,False,3.5,
NZXT Sentry LX,,5,6.0,False,"[2, 5.25]",
NZXT Sentry Mix 2,199.95,6,30.0,True,5.25,
Thermaltake AC-001-BN1NAN-A1,,5,8.0,True,5.25,
NZXT SENTRY 3,,5,15.0,True,5.25,
Thermaltake Commander F6 RGB,,6,0.03,True,5.25,Black
Deepcool ROCK MASTER V3.0,,4,10.0,True,5.25,
BitFenix Recon (Black),,5,10.0,True,5.25,
Lamptron FC2,,6,45.0,True,5.25,
Lamptron FC6,,4,10.0,True,5.25,
NZXT Sentry 2,,5,10.0,False,5.25,
Lamptron Fanatic,,5,60.0,True,5.25,
Kingwin FPX-005,,5,8.0,True,5.25,
Aerocool CoolTouch-R Black,,4,20.0,True,5.25,
Lamptron FC-CF525-BK,,5,60.0,True,5.25,
Aerocool Touch 2100,,5,25.0,False,"[2, 5.25]",
Aerocool Touch 2000,,4,6.0,False,"[2, 5.25]",
BitFenix Recon (White),,5,10.0,True,5.25,
Gelid Solutions SpeedTouch6,,6,30.0,True,5.25,
Lamptron CW611-B,,6,36.0,False,5.25,
Lamptron FC-FC5V3-BK,,6,30.0,True,5.25,
NZXT Sentry Mesh,,5,30.0,False,5.25,
Aerocool F6XT,,6,12.0,True,5.25,
Aerocool Touch-1000,,4,,False,5.25,
Lamptron FC9,,4,50.0,True,5.25,
Lamptron FC Touch,,6,30.0,True,5.25,
Kingwin FPX-003,,4,8.0,False,5.25,
Aerocool Strike-X-X1000,,5,25.0,False,5.25,
Scythe Kaze Master Flat II,,4,36.0,False,5.25,Black
Aerocool X-Vision,,5,0.008,False,5.25,Black
Silverstone FP59B,,1,,False,5.25,Black
Aerocool V12XT,,4,6.0,False,"[2, 5.25]",
Lamptron FC-FC2-B,,6,45.0,False,5.25,
Lamptron FC-FC5V2-B,,4,30.0,False,5.25,
Lamptron FC-CM615-BK,,6,15.0,False,5.25,
Lamptron FC-FANATIC-B,,5,60.0,True,5.25,
