name,price,type,frequency_response,microphone,wireless,enclosure_type,color
HiFiMAN Susvara,5999.0,Circumaural,"[6, 75]",False,False,Open,Silver / Brown
HP HyperX Cloud II,74.98,Circumaural,"[15, 25]",True,False,Closed,Black / Red
Razer BlackShark V2 X,48.67,Circumaural,"[12, 28]",True,False,Closed,Black / Green
Logitech Pro X,94.22,Circumaural,"[20, 20]",True,False,Closed,Black
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",349.0,Circumaural,"[10, 40]",True,True,Closed,Black
Beyerdynamic DT 770 PRO,159.0,Circumaural,"[5, 35]",False,False,Closed,Gray
SteelSeries Arctis 1,49.97,Circumaural,"[20, 20]",True,False,Closed,Black
Razer BlackShark V2 Pro,129.99,Circumaural,"[12, 28]",True,True,Closed,Black
HP HyperX Cloud,,Circumaural,"[15, 25]",True,False,Closed,Black / White
Corsair Virtuoso RGB,129.99,Circumaural,"[20, 40]",True,True,Closed,White
Corsair VOID RGB ELITE,99.99,Circumaural,"[20, 30]",True,True,Closed,Black
Logitech Pro X,180.95,Circumaural,"[20, 20]",True,True,Closed,Black
Razer BlackShark V2 Pro (2023),199.0,Circumaural,"[12, 28]",True,True,Closed,Black
Corsair VIRTUOSO RGB Wireless XT,229.99,Circumaural,"[20, 40]",True,True,Closed,Black / Silver
Beyerdynamic DT990 Premium Limited-Edition,159.0,Circumaural,"[5, 35]",False,False,Open,Black
SteelSeries Arctis Nova 7,141.99,Circumaural,"[20, 22]",True,True,Closed,Black
HP HyperX Cloud II,79.98,Circumaural,"[15, 25]",True,False,Closed,Gunmetal
Logitech G432,45.99,Circumaural,"[20, 20]",True,False,Closed,Black / Blue
Sennheiser HD 820,1699.95,Circumaural,"[6, 48]",False,False,Closed,Black
Logitech G733,149.0,Circumaural,"[20, 20]",True,True,Closed,White / Gray
Astro A50 + Base Station,298.99,Circumaural,"[20, 20]",True,True,Closed,Black / Gold
Sony XM5,384.99,Circumaural,"[4, 40]",True,True,Closed,Black
SteelSeries Arctis Pro Wireless,445.0,Circumaural,"[10, 40]",True,True,Closed,White
SteelSeries Arctis 1,65.11,Circumaural,"[20, 20]",True,True,Closed,Black
Sennheiser HD 560S,229.99,Circumaural,"[6, 38]",False,False,Open,Black
Corsair HS80 RGB,131.99,Circumaural,"[20, 40]",True,True,Closed,Black
Logitech G733,118.99,Circumaural,"[20, 20]",True,True,Closed,Black
HP HyperX Cloud II,119.99,Circumaural,"[15, 20]",True,True,Closed,Black / Red
SteelSeries ARCTIS 5 (2019 Edition),99.0,Circumaural,"[20, 22]",True,False,Closed,Black
Corsair VOID RGB ELITE,99.99,Circumaural,"[20, 30]",True,True,Closed,White
Audio-Technica ATH-M50x,169.0,Circumaural,"[15, 28]",False,False,Closed,Black / Silver
