name,price,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 970 Evo Plus,54.99,1000.0,0.055,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 980 Pro,99.99,2000.0,0.05,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,59.99,1000.0,0.06,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,42.99,1000.0,0.043,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,55.0,2000.0,0.028,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 990 Pro,169.99,2000.0,0.085,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,99.99,2000.0,0.05,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN770,49.99,1000.0,0.05,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,39.99,1000.0,0.04,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 970 Evo Plus,34.99,500.0,0.07,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP QX,2499.98,15300.0,0.163,SSD,,2.5,SATA 6.0 Gb/s
Kingston NV2,84.99,2000.0,0.042,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,59.99,1000.0,0.06,SSD,1024.0,2.5,SATA 6.0 Gb/s
Western Digital Black SN850X,139.99,2000.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,63.98,4000.0,0.016,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Black SN850X,283.49,4000.0,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN570,45.99,1000.0,0.046,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN770,112.99,2000.0,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,49.99,1000.0,0.05,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,99.99,2000.0,0.05,SSD,2048.0,2.5,SATA 6.0 Gb/s
Samsung 980,49.99,1000.0,0.05,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33,38.49,1000.0,0.038,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power A60,35.97,1000.0,0.036,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P5 Plus,122.99,2000.0,0.061,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,41.0,1000.0,0.041,7200,64.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket 4 Plus,999.99,8000.0,0.125,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,69.99,1000.0,0.07,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,59.99,1000.0,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,219.0,4000.0,0.055,SSD,4096.0,2.5,SATA 6.0 Gb/s
Crucial P3 Plus,104.81,2000.0,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,27.99,500.0,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,43.23,1000.0,0.043,7200,64.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M371,34.99,1000.0,0.035,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 870 QVO,399.99,8000.0,0.05,SSD,,2.5,SATA 6.0 Gb/s
Crucial P5 Plus,49.99,1000.0,0.05,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A60,65.97,2000.0,0.033,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33,65.98,2000.0,0.033,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P3 Plus,248.49,4000.0,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,22.49,512.0,0.044,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P3,24.99,500.0,0.05,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston A400,16.98,240.0,0.071,SSD,,2.5,SATA 6.0 Gb/s
Intel 670p,69.98,2000.0,0.035,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN570,26.99,500.0,0.054,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700,572.96,4000.0,0.143,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 980 Pro,49.99,500.0,0.1,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,83.29,2000.0,0.042,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX500,47.99,1000.0,0.048,SSD,1024.0,2.5,SATA 6.0 Gb/s
Western Digital Gold,549.99,22000.0,0.025,7200,512.0,3.5,SATA 6.0 Gb/s
Kingston KC3000,145.13,2048.0,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,114.99,8000.0,0.014,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,39.25,500.0,0.079,SSD,512.0,2.5,SATA 6.0 Gb/s
Western Digital Blue,53.99,2000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 970 Evo Plus,31.48,250.0,0.126,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro NAS,289.99,22000.0,0.013,7200,512.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M450,37.99,1000.0,0.038,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power P34A60,22.97,512.0,0.045,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700,179.99,1000.0,0.18,SSD,,M.2-2280,M.2 PCIe 5.0 X4
