name,price,style,switches,backlit,tenkeyless,connection_type,color
Corsair K60 RGB Pro,99.99,Gaming,Cherry Viola,RGB,False,Wired,Black
HP HyperX Alloy Core RGB,34.99,Gaming,,RGB,False,Wired,Black
Redragon K552,36.99,Gaming,Outemu Blue,Red,True,Wired,Black
Razer Huntsman Mini,94.99,Mini,Razer Purple Optical Clicky,RGB,True,Wired,White
SteelSeries Apex Pro TKL,179.99,Gaming,SteelSeries QX2 OmniPoint,RGB,True,Wired,Black
Logitech G915 Lightspeed,227.54,Gaming,Logitech GL Tactile,RGB,False,Wireless,Black
Logitech K120,12.97,Standard,,,False,Wired,Black
Logitech G19,,Standard,,Multicolor,False,Wired,Black
Corsair K55 RGB PRO,49.88,Gaming,,Multicolor,False,Wired,Black
Topre Realforce 87U,649.33,Slim,Topre Variable,Blue,True,Wired,Black
Logitech G413 Carbon,52.99,Gaming,Romer-G Tactile,Red,False,Wired,Black
Redragon S113,37.59,Gaming,Outemu Brown,RGB,True,Wired,Black
Razer Huntsman Mini,101.86,Mini,Razer Red Optical Linear,RGB,True,Wired,Black
Corsair K100 RGB,249.99,Gaming,Corsair OPX,RGB,False,Wired,Black
HP HyperX Alloy Origins Core,88.0,Gaming,HyperX Red,RGB,True,Wired,Black
SteelSeries Apex Pro,165.99,Gaming,OmniPoint Adjustable,RGB,False,Wired,Black
G.Skill KM360,49.99,Standard,Cherry MX Red,White,True,Wired,White
Corsair K70 RGB MK.2,,Gaming,Cherry MX Red,RGB,False,Wired,Black
Corsair K65 60%,72.43,Mini,Cherry MX Speed Silver,RGB,True,Wired,Black
Logitech G915 TKL,198.29,Gaming,GL Tactile,RGB,True,Wireless,Black
Razer BlackWidow X Chroma Mercury Edition,354.33,Gaming,Razer Green,RGB,False,Wired,Silver / White
Keychron K2 V2 Aluminum,99.99,Standard,Gateron G Pro Brown,RGB,True,Wireless,Black / Gray
SteelSeries Apex 3 TKL RGB,44.98,Gaming,,RGB,True,Wired,Black
Razer BlackWidow V3,84.99,Gaming,Razer Green,RGB,True,Wired,Black
Logitech G610,85.98,Gaming,Cherry MX Red,White,False,Wired,Black
Razer Huntsman Tournament Edition,129.99,Gaming,Razer Red Optical Linear,RGB,True,Wired,Black
