name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance LPX 16 GB,39.99,"[4, 3200]","[2, 8]",2.499,Black / Yellow,10.0,16.0
Corsair Vengeance RGB Pro 32 GB,104.98,"[4, 3600]","[2, 16]",3.281,Black,10.0,18.0
Corsair Vengeance 32 GB,92.99,"[5, 5600]","[2, 16]",2.906,Black,12.857,36.0
Corsair Vengeance LPX 32 GB,67.98,"[4, 3600]","[2, 16]",2.124,Black / Yellow,10.0,18.0
G.Skill Trident Z5 RGB 32 GB,104.99,"[5, 6000]","[2, 16]",3.281,Black,12.0,36.0
Corsair Vengeance RGB Pro 16 GB,56.99,"[4, 3200]","[2, 8]",3.562,Black,10.0,16.0
G.Skill Trident Z5 RGB 64 GB,229.99,"[5, 6400]","[2, 32]",3.594,Black / Silver,10.0,32.0
Silicon Power GAMING 16 GB,29.97,"[4, 3200]","[2, 8]",1.873,Black / Gray,10.0,16.0
Corsair Vengeance 32 GB,97.99,"[5, 6000]","[2, 16]",3.062,Black,12.0,36.0
G.Skill Ripjaws V 32 GB,63.99,"[4, 3200]","[2, 16]",2.0,Black,10.0,16.0
Corsair Vengeance LPX 16 GB,41.99,"[4, 3600]","[2, 8]",2.624,Black,10.0,18.0
Corsair Vengeance RGB Pro SL 32 GB,77.99,"[4, 3600]","[2, 16]",2.437,White / Black,10.0,18.0
Corsair Vengeance RGB 32 GB,102.99,"[5, 6000]","[2, 16]",3.218,White,12.0,36.0
G.Skill Trident Z5 RGB 32 GB,119.99,"[5, 6400]","[2, 16]",3.75,Black,10.0,32.0
G.Skill Flare X5 32 GB,94.99,"[5, 6000]","[2, 16]",2.968,Black,12.0,36.0
G.Skill Ripjaws S5 32 GB,97.99,"[5, 6000]","[2, 16]",3.062,Black,10.0,30.0
Corsair Vengeance LPX 32 GB,62.99,"[4, 3200]","[2, 16]",1.968,Black / Yellow,10.0,16.0
Silicon Power GAMING 32 GB,48.97,"[4, 3200]","[2, 16]",1.53,Black,10.0,16.0
TEAMGROUP T-Force Vulcan Z 16 GB,33.99,"[4, 3200]","[2, 8]",2.124,Black,10.0,16.0
G.Skill Ripjaws V 16 GB,48.99,"[4, 3600]","[2, 8]",3.062,Black,8.889,16.0
Corsair Vengeance RGB Pro 16 GB,64.98,"[4, 3200]","[2, 8]",4.061,White,10.0,16.0
Corsair Vengeance RGB 32 GB,97.99,"[5, 5200]","[2, 16]",3.062,Black,15.385,40.0
G.Skill Trident Z5 Neo RGB 32 GB,116.99,"[5, 6000]","[2, 16]",3.656,Black,10.0,30.0
G.Skill Ripjaws V 64 GB,1937.68,"[4, 3200]","[4, 16]",30.276,Black,8.75,14.0
Corsair Vengeance 64 GB,259.99,"[5, 6600]","[2, 32]",4.062,Black / Gray,9.697,32.0
Kingston FURY Beast 16 GB,47.75,"[4, 3200]","[2, 8]",2.984,Black,10.0,16.0
G.Skill Trident Z RGB 32 GB,81.99,"[4, 3200]","[2, 16]",2.562,Black,10.0,16.0
G.Skill Trident Z RGB 16 GB,59.99,"[4, 3600]","[2, 8]",3.749,Black,10.0,18.0
Corsair Vengeance 64 GB,164.99,"[5, 5200]","[2, 32]",2.578,Black,15.385,40.0
G.Skill Ripjaws V 32 GB,86.99,"[4, 3600]","[2, 16]",2.718,Black,8.889,16.0
Corsair Vengeance RGB 32 GB,102.99,"[5, 6000]","[2, 16]",3.218,Black,13.333,40.0
G.Skill Trident Z5 Neo 64 GB,224.99,"[5, 6000]","[2, 32]",3.515,Black / Silver,10.0,30.0
TEAMGROUP T-Force Vulcan Z 32 GB,57.99,"[4, 3600]","[2, 16]",1.812,Black,10.0,18.0
TEAMGROUP T-Force Delta RGB 16 GB,46.99,"[4, 3600]","[2, 8]",2.937,Black,10.0,18.0
Corsair Dominator Platinum RGB 32 GB,169.99,"[5, 6200]","[2, 16]",5.312,White,11.613,36.0
Corsair Vengeance LPX 64 GB,127.99,"[4, 3200]","[2, 32]",2.0,Black / Yellow,10.0,16.0
G.Skill Ripjaws S5 32 GB,99.99,"[5, 5600]","[2, 16]",3.125,Black,10.0,28.0
