name,price,socket,form_factor,max_memory,memory_slots,color
MSI MAG B550 TOMAHAWK,169.99,AM4,ATX,128,4,Black / Silver
MSI B550-A PRO,139.99,AM4,ATX,128,4,Black / Silver
MSI B550M PRO-VDH WIFI,119.99,AM4,Micro ATX,128,4,Black
Gigabyte Z790 AORUS ELITE AX,239.99,LGA1700,ATX,128,4,Black
Asus Prime B450M-A II,79.99,AM4,Micro ATX,128,4,
MSI MAG B660 TOMAHAWK WIFI DDR4,189.99,LGA1700,ATX,128,4,Black / Silver
Gigabyte B650 AORUS ELITE AX,202.3,AM5,ATX,128,4,Black / Silver
Asus ROG STRIX B550-A GAMING,169.99,AM4,ATX,128,4,Black / White
MSI MAG Z790 TOMAHAWK WIFI,276.79,LGA1700,ATX,192,4,Black
MSI MAG B650 TOMAHAWK WIFI,219.95,AM5,ATX,128,4,Black
Asus TUF GAMING X570-PLUS (WI-FI),199.99,AM4,ATX,128,4,Black / Gold
Gigabyte B660M DS3H AX DDR4,99.99,LGA1700,Micro ATX,128,4,Black
Gigabyte B650 GAMING X AX,169.99,AM5,ATX,128,4,Black / Gray
Gigabyte B550M DS3H,107.99,AM4,Micro ATX,128,4,Black / Gold
Asus ROG STRIX B550-F GAMING WIFI II,189.99,AM4,ATX,128,4,Black / Red
MSI B550 GAMING GEN3,117.36,AM4,ATX,128,4,Black
MSI PRO Z790-P WIFI,217.42,LGA1700,ATX,128,4,Black / Silver
Gigabyte B450M DS3H WIFI,79.99,AM4,Micro ATX,64,4,Brown / Black
MSI MAG B660M MORTAR WIFI DDR4,168.96,LGA1700,Micro ATX,128,4,Silver / Black
Gigabyte B550 AORUS ELITE AX V2,159.99,AM4,ATX,128,4,Black / Silver
Asus ROG STRIX B650E-F GAMING WIFI,267.73,AM5,ATX,128,4,Black
ASRock B550M Pro4,106.99,AM4,Micro ATX,128,4,Silver / Black
Asus ROG STRIX Z690-A GAMING WIFI D4,442.71,LGA1700,ATX,128,4,Silver / Black
Asus TUF GAMING B550-PLUS WIFI II,169.99,AM4,ATX,128,4,Black / Gray
MSI B450M PRO-VDH MAX,79.98,AM4,Micro ATX,64,4,Black / Silver
MSI MPG B550 GAMING PLUS,149.99,AM4,ATX,128,4,Black
Gigabyte B650I AORUS ULTRA,259.99,AM5,Mini ITX,64,2,Black / Silver
MSI PRO B760-P WIFI DDR4,161.98,LGA1700,ATX,128,4,Black
Asus ROG STRIX B760-I GAMING WIFI,218.99,LGA1700,Mini ITX,64,2,Black
MSI PRO B650-P WIFI,189.99,AM5,ATX,128,4,Black
MSI PRO B650M-A WIFI,165.95,AM5,Micro ATX,128,4,Black
MSI PRO B550M-VC WIFI,118.61,AM4,Micro ATX,128,4,Black
MSI A520M-A PRO,75.99,AM4,Micro ATX,64,2,Black
MSI MAG Z690 TOMAHAWK WIFI DDR4,239.99,LGA1700,ATX,128,4,Black / Silver
Asus ROG STRIX Z790-E GAMING WIFI,485.14,LGA1700,ATX,128,4,Black
Gigabyte A520I AC,109.99,AM4,Mini ITX,64,2,Black
Asus PRIME Z690-P WIFI D4,199.0,LGA1700,ATX,128,4,Silver / Black
MSI MAG X670E TOMAHAWK WIFI,309.99,AM5,ATX,192,4,Black
Asus ROG MAXIMUS Z790 HERO,588.85,LGA1700,ATX,128,4,Black
Gigabyte B650M DS3H,139.99,AM5,Micro ATX,128,4,Brown / Black
MSI PRO H610M-G DDR4,79.99,LGA1700,Micro ATX,64,2,Black / Silver
MSI MAG B550 TOMAHAWK MAX WIFI,199.99,AM4,ATX,128,4,Silver / Black
ASRock B660M Pro RS,89.99,LGA1700,Micro ATX,128,4,Gray / Black
ASRock A520M-HDV,70.42,AM4,Micro ATX,64,2,Black / Silver
Asus TUF GAMING B650-PLUS WIFI,227.99,AM5,ATX,128,4,Black
Asus ROG STRIX X670E-E GAMING WIFI,484.99,AM5,ATX,128,4,Black / Silver
Gigabyte B550I AORUS PRO AX,169.99,AM4,Mini ITX,64,2,Black / Silver
Asus TUF GAMING Z790-PLUS WIFI,269.99,LGA1700,ATX,128,4,Black / Gray
ASRock B550M-ITX/ac,129.99,AM4,Mini ITX,64,2,Silver / Black
MSI PRO Z690-A WIFI DDR4,169.95,LGA1700,ATX,128,4,Black / Silver
Asus TUF GAMING A520M-PLUS WIFI,99.99,AM4,Micro ATX,128,4,Black / Orange
Gigabyte B550 GAMING X V2,109.99,AM4,ATX,128,4,Black
MSI MPG B650I EDGE WIFI,274.27,AM5,Mini ITX,64,2,Black / Silver
Gigabyte B550M DS3H AC,87.99,AM4,Micro ATX,128,4,Black
Gigabyte B760 GAMING X AX,159.99,LGA1700,ATX,128,4,Black / Gray
Asus ROG STRIX B550-F GAMING,175.6,AM4,ATX,128,4,Black
MSI PRO B660M-A WIFI DDR4,173.5,LGA1700,Micro ATX,128,4,Black / Silver
Asus ROG ZENITH II EXTREME ALPHA,2059.0,sTRX4,EATX,256,8,Black / Silver
ASRock B550M Phantom Gaming 4,86.99,AM4,Micro ATX,128,4,Black
Gigabyte B650M AORUS ELITE AX,189.99,AM5,Micro ATX,128,4,Black
Asus ROG STRIX B650-A GAMING WIFI,244.99,AM5,ATX,128,4,Black / Silver
Asus PRIME B550M-A WIFI II,129.99,AM4,Micro ATX,128,4,Blue / Silver
ASRock B650M Pro RS WiFi,124.99,AM5,Micro ATX,128,4,Black / Silver
Gigabyte B550M AORUS ELITE,130.19,AM4,Micro ATX,128,4,Black / Orange
Asus PRIME Z790-A WIFI,279.99,LGA1700,ATX,128,4,Black / Silver
MSI MPG Z490 GAMING EDGE WIFI,,LGA1200,ATX,128,4,Black / Silver
MSI MPG Z490 GAMING PLUS,109.99,LGA1200,ATX,128,4,Black / Silver
ASRock B550 Phantom Gaming 4/ac,89.99,AM4,ATX,128,4,Silver / Black
ASRock Z690M-ITX/ax,171.17,LGA1700,Mini ITX,64,2,Silver / Black
Gigabyte X670 AORUS ELITE AX (rev. 1.0),269.99,AM5,ATX,128,4,Black
ASRock B650M-HDV/M.2,124.99,AM5,Micro ATX,64,2,Silver / Black
Gigabyte X570S AORUS ELITE AX,189.99,AM4,ATX,128,4,Black / Silver
Asus TUF GAMING B550M-PLUS WIFI II,159.99,AM4,Micro ATX,128,4,Black / Gray
Gigabyte B760M DS3H AX DDR4,178.5,LGA1700,Micro ATX,128,4,Black
MSI MPG Z790 EDGE WIFI,339.99,LGA1700,ATX,128,4,Silver / Black
ASRock B660M-HDV,97.73,LGA1700,Micro ATX,64,2,Gray / Black
Asus ROG STRIX Z690-E GAMING WIFI,265.99,LGA1700,ATX,128,4,Black
MSI PRO B760M-P DDR4,99.95,LGA1700,Micro ATX,128,4,Black
NZXT N7 Z790,299.99,LGA1700,ATX,128,4,White / Black
ASRock H570 Phantom Gaming 4,81.0,LGA1200,ATX,128,4,Silver / Black
Asus PRIME B550-PLUS,129.99,AM4,ATX,128,4,Black / White
Gigabyte B760M AORUS ELITE AX,119.99,LGA1700,Micro ATX,128,4,Black / Silver
Gigabyte B760 AORUS ELITE AX,159.99,LGA1700,ATX,128,4,Black
Asus ROG STRIX B650E-I GAMING WIFI,324.99,AM5,Mini ITX,64,2,Black
MSI PRO X670-P WIFI,229.95,AM5,ATX,128,4,Black / White
Asus PRIME B660-PLUS D4,179.94,LGA1700,ATX,128,4,Silver / Black
