name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech G502 HERO,46.99,Optical,Wired,25600.0,Right,Black
Logitech G Pro X Superlight,139.99,Optical,Wireless,25400.0,Right,Black
Logitech G305 (Black),39.97,Optical,Wireless,12000.0,Right,Black
Logitech G502 LIGHTSPEED,107.77,Optical,Wireless,25600.0,Right,Black
Razer DeathAdder V2,44.99,Optical,Wired,20000.0,Right,Black
Razer Basilisk V3,54.57,Optical,Wired,26000.0,Right,Black
FinalMouse Air58 Ninja,624.97,Optical,Wired,3200.0,Right,Blue
Logitech G Pro X Superlight,137.5,Optical,Wireless,25400.0,Right,White
Glorious Model O,74.98,Optical,Wireless,19000.0,Right,White
SteelSeries 62050,,Optical,Wired,3600.0,Right,Black
Logitech G Pro Wireless,88.63,Optical,Wireless,25600.0,Both,Black
Logitech G203 Lightsync,34.48,Optical,Wired,8000.0,Right,Black
SteelSeries Rival 3,29.99,Optical,Wired,8500.0,Right,Black
Razer Basilisk X HyperSpeed,34.98,Optical,Wireless,16000.0,Right,Black / Green
Razer Viper Ultimate w/Dock,96.0,Optical,Wireless,20000.0,Both,Black
Logitech G502 X Plus,144.99,Optical,"Wired, Wired, Wireless",25600.0,Right,Black
Razer Basilisk V3 Pro + Mouse Dock Pro,199.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,Black
Glorious Model O,79.99,Optical,Wireless,19000.0,Right,Black
Logitech G305 (White),39.99,Optical,Wireless,12000.0,Right,White
Razer DeathAdder V3 Pro,130.81,Optical,Wireless,30000.0,Right,Black
Razer Viper V2 Pro,146.19,Optical,Wireless,30000.0,Right,Black
Glorious MODEL O,49.99,Optical,Wired,12000.0,Right,Black
Razer DeathAdder Essential,22.7,Optical,Wired,6400.0,Right,Black / Green
Corsair DARK CORE RGB PRO SE,96.99,Optical,Wireless,18000.0,Right,Black
Logitech G502 X Plus,154.41,Optical,"Wired, Wired, Wireless",25600.0,Right,White
Logitech G703 LIGHTSPEED,63.99,Optical,Wireless,25600.0,Right,Black
Logitech MX MASTER 3S,99.99,Optical,Wireless,8000.0,Right,Gray
Corsair M65 RGB ELITE,36.98,Optical,Wired,17997.0,Right,Black
Razer DeathAdder Essential,25.96,Optical,Wired,6400.0,Right,White
Razer Viper Mini,,Optical,Wired,8500.0,Right,Black
Corsair M65 RGB ULTRA WIRELESS,109.93,Optical,Wireless,26000.0,Right,Black / Silver
Redragon COBRA M711,19.98,Optical,Wired,10000.0,Right,Black / Multicolor
Logitech B100,7.97,Optical,Wired,800.0,,Black
Razer Viper V2 Pro,142.0,Optical,Wireless,30000.0,Right,White
Razer Viper Ultimate,99.99,Optical,Wireless,20000.0,Both,Black
Asus ROG HARPE ACE AIM LAB EDITION,123.99,Optical,"Wired, Wireless",36000.0,Right,Black
Razer DeathAdder V3 Pro,147.91,Optical,Wireless,30000.0,Right,White
Razer Viper 8KHz,51.98,Optical,Wired,20000.0,Both,Black
Corsair NIGHTSWORD RGB,69.99,Optical,Wired,18000.0,Right,Black
Razer Naga Trinity,75.87,Optical,Wired,16000.0,Right,Black
Logitech Anywhere Mouse MX,149.94,Laser,Wireless,,Both,Black
Logitech G502 Proteus Spectrum,72.98,Optical,Wired,12000.0,Right,Black
Logitech G402,30.48,Optical,Wired,4000.0,Right,Black
Razer Basilisk V3 Pro,131.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,Black
SteelSeries Rival 3,35.49,Optical,Wireless,18000.0,Right,Black
Glorious MODEL O,49.99,Optical,Wired,12000.0,Right,White
Corsair SCIMITAR RGB ELITE,73.98,Optical,Wired,18000.0,Right,Black
Logitech G305 LIGHTSPEED,49.99,Optical,Wireless,12000.0,Right,Black
Logitech G502 X,125.0,Optical,"Wired, Wired, Wireless",25600.0,Right,Black
SteelSeries Rival 5,39.99,Optical,Wired,18000.0,Right,Black
Logitech G600 MMO Gaming Mouse,37.99,Laser,Wired,8200.0,Right,Black
SteelSeries Aerox 3,95.15,Optical,Bluetooth Wireless,18000.0,Right,Black
Razer DeathAdder V2 Pro,69.0,Optical,Wireless,20000.0,Right,Black
Verbatim 98616 Go Mini Travel Commuter,4.99,Optical,Wired,,Both,Blue
Razer DeathAdder V3,69.98,Optical,,30000.0,Right,Black
Corsair M65 RGB ELITE,28.0,Optical,Wired,17995.0,Right,White
Logitech MX Master 3,99.0,Laser,Wireless,4000.0,Right,Black / Silver
Logitech G203 Lightsync,39.99,Optical,Wired,8000.0,Right,White
HP HyperX Pulsefire Haste,39.97,Optical,Wired,16000.0,Right,Black
Corsair HARPOON RGB PRO,34.99,Optical,Wired,12000.0,Right,Black
Asus P707 ROG SPATHA X,149.99,Optical,Wireless,19000.0,Right,Black
Razer Basilisk V3 Pro,158.08,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,White / Black
Razer Naga Pro,112.11,Optical,Wireless,20000.0,Right,Black
Corsair HARPOON RGB,44.99,Optical,Wireless,10000.0,Right,Black
Glorious MODEL D,49.99,Optical,Wired,12000.0,Right,Black
Logitech G502 X,58.9,Optical,Wired,25600.0,Right,Black
Redragon M602,19.98,Optical,Wired,7200.0,Right,Black
Razer Mamba Elite,29.48,Optical,Wired,16000.0,Right,Black
Logitech G403 HERO,39.99,Optical,Wired,25600.0,Right,Black / Blue
Razer Naga V2 Pro,179.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,Black
Razer Basilisk Ultimate,99.99,Optical,Wireless,20000.0,Right,Black
Razer Viper Ultimate,,Optical,Wireless,20000.0,Both,White
Corsair Harpoon RGB,20.49,Optical,Wired,6000.0,Right,Black
Corsair M65 PRO RGB FPS,33.99,Optical,Wired,12000.0,Right,Black
Logitech G700s,389.98,Laser,Wireless,8200.0,Right,Black
Logitech G903 HERO,90.74,Optical,Wireless,25600.0,Both,Black
Glorious MODEL D,34.25,Optical,Wired,12000.0,Right,White
SteelSeries Aerox 9,113.99,Optical,Wireless,18000.0,Right,Black
Logitech G305 LIGHTSPEED,88.94,Optical,Wireless,12000.0,Right,White
SteelSeries Rival 600,44.95,Optical,Wired,12000.0,Right,Black
Razer Viper Ultimate w/Dock,119.98,Optical,Wireless,20000.0,Both,Pink
Razer DeathAdder V2 X HyperSpeed,39.99,Optical,"Wireless, Bluetooth Wireless",14000.0,Right,Black
Corsair M65 RGB ULTRA,49.99,Optical,Wired,26000.0,Right,Black / Silver
Logitech G604 LIGHTSPEED,68.98,Optical,Wireless,25600.0,Right,Black
SteelSeries Rival 650 Wireless,69.22,Optical,Wireless,12000.0,Right,Black
Razer Naga Chroma,269.99,Laser,Wired,16000.0,Right,Black
Logitech M90,7.2,Optical,Wired,1000.0,Both,Black
HP HyperX Pulsefire Haste,58.99,Optical,Wireless,16000.0,Right,Black
Corsair SABRE RGB PRO WIRELESS CHAMPION SERIES,149.94,Optical,Wireless,26000.0,Right,Black
Corsair IRONCLAW RGB WIRELESS,59.99,Optical,Wireless,18000.0,Right,Black
HP Pulsefire Core RGB,19.98,Optical,Wired,6200.0,Right,Black
Corsair DARK CORE RGB PRO,89.99,Optical,Wireless,18000.0,Right,Black
Razer Basilisk V2,,Optical,Wired,20000.0,Right,Black
Corsair M65 RGB ULTRA WIRELESS,128.71,Optical,Wireless,26000.0,Right,
HP HyperX Pulsefire FPS Pro,38.0,Optical,Wired,16000.0,Right,Black
Razer Orochi V2,60.0,Optical,Wireless,18000.0,Right,White
Logitech G502 SE HERO,,Optical,Wired,25600.0,Right,Black / Silver
Asus P704 ROG CHAKRAM,132.26,Optical,Wireless,16000.0,Right,Black
Corsair SABRE RGB PRO CHAMPION SERIES,30.0,Optical,Wired,18000.0,Right,Black
Razer DeathAdder V2 Mini,33.0,Optical,Wired,8500.0,Right,Black
Logitech G Pro X Superlight,147.41,Optical,Wireless,25400.0,Right,Pink
Logitech MX MASTER 3S,91.8,Optical,Wireless,8000.0,Right,White
Asus ROG Gladius III,89.99,Optical,Wireless,26000.0,Right,Black
MSI CLUTCH,19.64,Optical,Wired,4200.0,Right,Black
EVGA X12,24.99,Optical,Wired,16000.0,Both,Black
Logitech PRO Wireless,192.0,Optical,Wireless,25600.0,Both,Black
Redragon M908 IMPACT MMO,40.48,Optical,Wired,12400.0,Right,Black
Kensington Pro Fit,,Laser,Wired,1800.0,Right,Black
Corsair IRONCLAW RGB FPS/MOBA,39.99,Optical,Wired,18000.0,Right,Black
Asus TUF Gaming M3,19.99,Optical,Wired,7000.0,Right,Black
