name,price,type,efficiency,wattage,modular,color
Corsair RM750e (2023),99.99,ATX,gold,750,Full,Black
Corsair RM850x (2021),149.99,ATX,gold,850,Full,Black
Corsair RM1000x (2021),169.99,ATX,gold,1000,Full,Black
Thermaltake Toughpower GX2,66.98,ATX,gold,600,False,Black
Corsair RM750x (2021),119.99,ATX,gold,750,Full,Black
Corsair RM850,139.99,ATX,gold,850,Full,White / Black
Thermaltake Smart,39.99,ATX,plus,500,False,
Corsair SF750,163.49,SFX,platinum,750,Full,
Corsair RM850e (2023),119.99,ATX,gold,850,Full,Black
Corsair CX650M (2021),79.98,ATX,bronze,650,Semi,Black
Corsair HX1200 Platinum,346.99,ATX,platinum,1200,Full,
Corsair CX750M (2021),89.95,ATX,bronze,750,Semi,Black
Corsair RM1000e (2023),159.99,ATX,gold,1000,Full,Black
Corsair CV550,,ATX,bronze,550,False,Black
Gigabyte UD750GM,90.98,ATX,gold,750,Full,Black
Corsair RM650x (2021),109.99,ATX,gold,650,Full,Black
Cooler Master V850 SFX GOLD,135.99,SFX,gold,850,Full,Black
Corsair RM750,115.99,ATX,gold,750,Full,White / Black
Corsair CV650,,ATX,bronze,650,False,Black
Corsair AX1600i,549.99,ATX,titanium,1600,Full,
NZXT C850 (2022),138.99,ATX,gold,850,Full,Black
MSI A1000G PCIE5,199.99,ATX,gold,1000,Full,Black
EVGA 600 W1,62.98,ATX,plus,600,False,
Thermaltake Smart,47.98,ATX,plus,600,False,
MSI MPG A850G PCIE5,139.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 1000 GT,169.99,ATX,gold,1000,Full,Black
Corsair CV450,,ATX,bronze,450,False,Black
EVGA 500 BR,84.88,ATX,bronze,500,False,
Thermaltake Toughpower GF1 PE,136.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 850 GT,129.99,ATX,gold,850,Full,Black
Thermaltake Toughpower Grand RGB,112.99,ATX,gold,650,Full,
Thermaltake Smart,54.95,ATX,plus,700,False,
Thermaltake Smart,33.99,ATX,plus,430,False,Black / White
EVGA SuperNOVA 750 GT,119.99,ATX,gold,750,Full,Black
FSP Group Hydro G Pro,,ATX,gold,750,Full,Black
EVGA 700 GD,79.98,ATX,gold,700,False,Black
EVGA 600 GD,79.98,ATX,gold,600,False,Black
SeaSonic S12III,69.0,ATX,bronze,650,False,Black
Asus ROG THOR 1600T Gaming,665.99,ATX,titanium,1600,Full,Silver / Black
Lian Li SP,114.99,SFX,gold,750,Full,Black
Apevia Prestige,51.99,ATX,gold,600,False,Black
Corsair SF1000L,179.99,SFX,gold,1000,Full,Black
Cooler Master MWE Gold 850 - V2,119.99,ATX,gold,850,Full,Black
MSI MPG A650GF,106.99,ATX,gold,650,Full,Black
SeaSonic FOCUS Plus 650 Gold,129.99,ATX,gold,650,Full,
EVGA 500 W1,53.59,ATX,plus,500,False,
Silverstone HELA,707.0,ATX,,2050,Full,Black / White
MSI MPG A750GF,129.99,ATX,gold,750,Full,Black
SeaSonic FOCUS PLUS 850 Gold,159.99,ATX,gold,850,Full,
NZXT C650 (2022),,ATX,gold,650,Full,Black
NZXT C750 (2022),129.99,ATX,gold,750,Full,Black
Gigabyte UD850GM,109.99,ATX,gold,850,Full,Black
Corsair HX1500i (2022),349.99,ATX,platinum,1500,Full,Black
EVGA SuperNOVA 750 GM,149.0,SFX,gold,750,Full,Black
Thermaltake Smart BM2,,ATX,bronze,650,Semi,Black
EVGA 700 BR,79.98,ATX,bronze,700,False,
Corsair RM750e (2022),180.29,ATX,gold,750,Full,Black
Gigabyte UD1000GM,134.99,ATX,gold,1000,Full,Black
MSI MAG A650BN,,ATX,bronze,650,False,Black
Cooler Master MWE GOLD 750 V2 FULL MODULAR,171.0,ATX,gold,750,Full,Black
Asus TUF Gaming 1000G,169.99,ATX,gold,1000,Full,Black
EVGA SuperNOVA 650 GT,99.99,ATX,gold,650,Full,Black
EVGA SuperNOVA 550 GM,,SFX,gold,550,Full,Black
Cooler Master V550 V2,125.99,ATX,gold,550,Full,White
SeaSonic PRIME TX-1000,338.98,ATX,titanium,1000,Full,Black
be quiet! Straight Power 11,209.9,ATX,platinum,1000,Full,Black
Lian Li SP850,144.65,SFX,gold,850,Full,White
Asus ROG STRIX G,199.99,ATX,gold,1000,Full,Black
MSI MEG Ai1300P PCIE5,329.99,ATX,platinum,1300,Full,Black / Copper
Cooler Master MasterWatt,99.99,ATX,bronze,750,Semi,Black
Corsair HX1000 Platinum,389.98,ATX,platinum,1000,Full,
Apevia Prestige,66.98,ATX,gold,800,False,Black
Phanteks Revolt Pro,129.99,ATX,gold,850,Full,Silver / Black
EVGA SuperNOVA 650 G5,109.99,ATX,gold,650,Full,Black / Green
EVGA SuperNOVA 850 GM,148.99,SFX,gold,850,Full,Black
Cooler Master V750 SFX GOLD,109.99,SFX,gold,750,Full,Black
be quiet! Pure Power 12 M,128.5,ATX,gold,750,Full,Black
Thermaltake Toughpower GF1 PE,109.99,ATX,gold,750,Full,Black
SeaSonic FOCUS Plus 750 Gold,139.99,ATX,gold,750,Full,
Corsair RM850e (2022),323.48,ATX,gold,850,Full,Black
Gigabyte P750GM,,ATX,gold,750,Full,Black
Corsair RM1000e (2022),249.99,ATX,gold,1000,Full,Black
be quiet! Straight Power 11,174.9,ATX,platinum,850,Full,Black
EVGA SuperNOVA 650 GM,120.0,SFX,gold,650,Full,Black
EVGA 600 BR,93.78,ATX,bronze,600,False,
Apevia CAPTAIN,31.99,ATX,,550,False,Black
Asus ROG LOKI,249.99,SFX,platinum,1000,Full,Silver / Black
Asus ROG Strix,375.0,ATX,gold,850,Full,White
Raidmax Cobra,49.99,ATX,bronze,700,False,
Thermaltake Smart BM2,,ATX,bronze,750,Semi,Black
be quiet! Straight Power 11,249.9,ATX,platinum,1200,Full,Black
MSI MPG A850GF,,ATX,gold,850,Full,Black
