name,price,channels,digital_audio,snr,sample_rate,chipset,interface
Creative Labs Sound Blaster AE-9,332.49,7.1,32.0,129.0,384.0,Sound Core3D,PCIe x1
Creative Labs Sound BlasterX AE-5 Plus,129.99,5.1,32.0,122.0,384.0,Sound Core3D,PCIe x1
Creative Labs Sound Blaster Audigy Rx,59.99,7.1,24.0,106.0,192.0,Creative E-MU,PCIe x1
Asus Xonar SE,39.99,5.1,24.0,120.0,192.0,,PCIe x1
Creative Labs Sound Blaster Z SE,90.08,5.1,24.0,116.0,192.0,Sound Core3D,PCIe x1
Creative Labs Sound Blaster AE-7,198.56,5.1,32.0,127.0,384.0,Sound Core3D,PCIe x1
Asus STRIX RAID DLX,212.99,7.1,24.0,124.0,192.0,,PCIe x1
Creative Labs Sound Blaster Zx,,5.1,24.0,116.0,192.0,,PCIe x1
Creative Labs 70SB157000000,39.99,5.1,,106.0,,,PCIe x1
Asus Xonar Essence STX,,7.1,24.0,124.0,192.0,ASUS AV100,PCIe x1
Asus STRIX SOAR,99.0,7.1,24.0,116.0,192.0,,PCIe x1
Creative Labs Sound Blaster Audigy Fx V2,49.99,5.1,24.0,120.0,192.0,,PCIe x1
Asus Xonar Phoebus,190.09,7.1,24.0,118.0,96.0,C-Media CMI8888DHT,PCIe x1
Asus Xonar AE,69.98,7.1,24.0,110.0,192.0,,PCIe x1
Creative Labs Sound BlasterX AE-5 Plus Pure,,5.1,32.0,122.0,384.0,Sound Core3D,PCIe x1
Creative Labs Sound BlasterX AE-5,209.99,5.1,32.0,122.0,384.0,Sound Core3D,PCIe x1
Encore ENM232-6VIA,37.95,5.1,24.0,,96.0,VIA VT1723,PCI
Asus STRIX RAID PRO,149.99,7.1,24.0,116.0,192.0,,PCIe x1
Creative Labs Sound Blaster Audigy Fx,,5.1,24.0,106.0,192.0,,PCIe x1
Creative Labs Sound Blaster Z w/Shield,,5.1,24.0,116.0,192.0,Sound Core3D,PCIe x1
Asus Essence STX II 7.1,,7.1,24.0,124.0,192.0,ASUS AV100,PCIe x1
EVGA NU AUDIO PRO,,2.0,32.0,123.0,384.0,,PCIe x1
Creative Labs Sound Blaster X-Fi Titanium HD,,7.1,24.0,122.0,96.0,X-Fi,PCIe x1
Asus Xonar DGX,,5.1,24.0,105.0,96.0,C-Media CMI8786,PCIe x1
Asus Essence STX II,,2.0,24.0,124.0,192.0,ASUS AV100,PCIe x1
Asus Xonar DX,,7.1,24.0,116.0,192.0,ASUS AV100,PCIe x1
EVGA NU,,5.1,24.0,123.0,192.0,,PCIe x1
Creative Labs Sound Blaster Z,,5.1,24.0,116.0,192.0,,PCIe x1
Creative Labs ZXR,,5.1,24.0,124.0,192.0,,PCIe x1
Creative Labs Sound BlasterX AE-5 Pure,,5.1,32.0,122.0,384.0,Sound Core3D,PCIe x1
HT Omega CLARO II,184.99,7.1,24.0,120.0,192.0,C-Media CMI8788,PCI
Creative Labs Sound Blaster X-Fi Xtreme Audio,,7.1,24.0,100.0,96.0,,PCIe x1
Creative Labs Sound Blaster Audigy SE,,7.1,24.0,,96.0,Audigy SE,PCI
Asus Xonar DG,,5.1,24.0,105.0,96.0,C-Media CMI8786,PCI
Creative Labs Recon3D Fatal1ty Professional,,5.1,24.0,102.0,96.0,Sound Core3D,PCIe x1
Creative Labs Recon3D PCIe,,5.1,24.0,102.0,96.0,Sound Core3D,PCIe x1
Asus Xonar DSX,,7.1,24.0,107.0,192.0,ASUS AV66,PCIe x1
PowerColor DEVIL HDX 7.1,,7.1,,124.0,192.0,,PCIe x1
Creative Labs Sound Blaster Z OEM,,5.1,24.0,116.0,192.0,,PCIe x1
Creative Labs SB X-Fi Xtreme Audio,,7.1,24.0,100.0,96.0,,PCIe x1
HT Omega eClaro,,7.1,24.0,,192.0,C-Media CMI8788,PCIe x1
Creative Labs Sound Blaster Audigy Rx OEM,,7.1,24.0,106.0,192.0,Creative E-MU,PCIe x1
Diamond XtremeSound XS51,46.95,5.1,16.0,,48.0,,PCI
StarTech PCISOUND5CH,,5.1,24.0,,48.0,C-Media CMI8738,PCI
Creative Labs Recon3D Fatal1ty Champion,,5.1,24.0,102.0,96.0,Sound Core3D,PCIe x1
Rosewill RC-703,,7.1,,,44.1,,PCIe x1
HT Omega FENIX,,7.1,24.0,,192.0,,PCIe x1
Creative Labs Sound Blaster X-Fi,,7.1,24.0,109.0,192.0,,PCI
Creative Labs Sound Blaster Audigy2 ZS,177.27,5.1,24.0,,192.0,Audigy2,PCI
Asus Xonar DS,,7.1,24.0,107.0,192.0,ASUS AV200,PCI
Creative Labs 70SB135A00002,,5.1,24.0,102.0,96.0,Sound Core3D,PCIe x1
SIIG DP SoundWave,,5.1,24.0,,,,PCIe x1
Creative Labs Sound Blaster X-Fi Xtreme Audio,,7.1,24.0,108.0,96.0,,PCI
StarTech PCISOUND4CH,,4.0,16.0,,48.0,C-Media CMI8738,PCI
Asus Xonar Essence,,7.1,24.0,124.0,192.0,ASUS AV100,PCI
HT Omega Claro Halo XT,,7.1,24.0,,192.0,C-Media CMI8788,PCI
M-Audio Audiophile 192,,4.0,24.0,,192.0,,PCI
Asus Xonar Essence ST,,7.1,24.0,124.0,192.0,ASUS AV100,PCI
M-Audio US41500C,,2.0,24.0,104.0,96.0,,PCI
SIIG IC-510012-S2,,5.1,16.0,68.0,,,PCI
SIIG IC-510111-S2,,5.1,24.0,90.0,96.0,VIA VT1723,PCIe x1
Syba SD-PEX63034,,7.1,24.0,,48.0,,PCIe x1
PPA International 1431v,,5.1,16.0,,,,PCI
HT Omega STRIKER,,7.1,,,,C-Media CMI8770,PCI
Vantec UGT-S100,,7.1,,,48.0,,PCI
Rosewill RC-701,,5.1,,,,C-Media CMI8738,PCI
Asus Xonar D1,,7.1,24.0,116.0,192.0,ASUS AV100,PCI
Diamond XtremeSound XS71,,7.1,16.0,,96.0,,PCI
Encore ENM232-8VIA,,7.1,24.0,,96.0,VIA VT1723,PCI
HT Omega Claro Halo,,5.1,24.0,,192.0,C-Media CMI8788,PCI
Asus Xonar DS,,7.1,24.0,107.0,192.0,ASUS AV200,PCI
Rosewill RC-702,,7.1,16.0,,96.0,C-Media CMI8768,PCI
StarTech PCISOUND4LP,,4.0,16.0,,48.0,C-Media CMI8738,PCI
Creative Labs Sound Blaster Audigy SE OEM,,7.1,24.0,100.0,96.0,,PCI
SIIG LP-000022-S2,,5.1,24.0,90.0,96.0,VIA VT1723,PCI
Turtle Beach TBS-3429,,5.1,24.0,,48.0,,PCI
SIIG IC-710012-S2,,7.1,24.0,92.0,96.0,,PCI
