name,price,protocol,interface,color
Gigabyte GC-WBAX210,41.99,Wi-Fi 6E,PCIe x1,Black / Silver
Gigabyte GC-WBAX200,35.99,Wi-Fi 6,PCIe x1,Black / Silver
TP-Link TL-WN881ND,14.99,Wi-Fi 4,PCIe x1,
Asus PCE-AX3000,49.99,Wi-Fi 6,PCIe x1,Black
Intel AX200,20.94,Wi-Fi 6,M.2,
TP-Link Archer TX50E,89.99,Wi-Fi 6,PCIe x1,Black
EDUP EP-9651GS,29.99,Wi-Fi 6E,PCIe x1,Black
Belkin E9L7500,271.3,Wi-Fi 4,USB Type-A 2.0,
Asus PCE-AC68,44.98,Wi-Fi 5,PCIe x1,
Asus PCE-AXE58BT,69.99,Wi-Fi 6E,PCIe x1,Black / Gold
TP-Link Archer TX3000E,49.99,Wi-Fi 6,PCIe x1,Red / Black
TP-Link ARCHER T2U PLUS,16.98,Wi-Fi 5,USB Type-A 2.0,Black
EDUP EP-9636GS-BL,28.99,Wi-Fi 6,PCIe x1,Black
TP-Link Archer TX55E,39.99,Wi-Fi 6,PCIe x1,
TP-Link ARCHER T2E,16.98,Wi-Fi 5,PCIe x1,
TP-Link Archer T4E,27.99,Wi-Fi 5,PCIe x1,
Ziyituod ZYT-AX210S,28.9,Wi-Fi 6E,PCIe x1,Red
TP-Link Archer T5E,29.99,Wi-Fi 5,PCIe x1,Black
TP-Link Archer T3U Plus,22.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,
TP-Link TL-WN725N,9.99,Wi-Fi 4,USB Type-A 2.0,
Asus PCE-AC56,34.99,Wi-Fi 5,PCIe x1,
Asus PCE-AC88,130.15,Wi-Fi 5,PCIe x1,
Netgear Nighthawk AC1900 A7000-10000S,59.85,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Rosewill RNX-N250PCe,12.25,Wi-Fi 4,PCIe x1,
TP-Link TL-WDN4800,64.98,Wi-Fi 4,PCIe x1,
TRENDnet TEW-648UBM,6.99,Wi-Fi 4,USB Type-A 2.0,
EDUP EP-9651,28.99,Wi-Fi 6E,PCIe x1,Blue / Black
Asus PCE-AX58BT,49.99,Wi-Fi 6,PCIe x1,Black
TP-Link Archer T6E AC1300,39.99,Wi-Fi 5,PCIe x1,
Gigabyte GC-WB1733D-I,32.83,Wi-Fi 5,PCIe x1,Black
TP-Link Archer TX20U plus,39.99,Wi-Fi 6,USB Type-A 3.2 Gen 1,
MSI AC905C,27.99,Wi-Fi 5,PCIe x1,Black
Netgear WNDA3100-100NAS,6.0,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer TXE75E,79.98,Wi-Fi 6,PCIe x1,
TP-Link Archer T9E,87.99,Wi-Fi 5,PCIe x1,
Edimax EW-7811UTC,14.99,Wi-Fi 5,USB Type-A 2.0,
TP-Link Archer T3U,19.98,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Ziyituod ZYT-AX200,,Wi-Fi 6,PCIe x1,Green
Ubit G10H-AX210S,,Wi-Fi 6E,PCIe x1,
Ubit AX210,,Wi-Fi 6E,PCIe x1,Black
TP-Link Archer T2U,23.56,Wi-Fi 5,USB Type-A 2.0,
Asus PCE-N15,,Wi-Fi 4,PCIe x1,
TP-Link TL-WN781ND,,Wi-Fi 4,PCIe x1,
Gigabyte GC-WB867D-I,,Wi-Fi 5,PCIe x1,
Asus USB-AC53 NANO,27.89,Wi-Fi 5,USB Type-A 2.0,
Asus PCE-AC58BT,,Wi-Fi 5,PCIe x1,Blue
Intel AX210 w/vPro,22.95,Wi-Fi 6E,M.2 PCIe,Green
TP-Link Archer T4U Plus,23.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Netgear A6210-100PAS,64.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,
TP-Link Archer TXE72E,59.99,Wi-Fi 6,PCIe x1,
Linksys AE3000,49.99,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer T2U Nano,12.99,Wi-Fi 4,USB Type-A 2.0,Black / Gold
Asus USB-AC68,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Gigabyte GC-WB867D-I REV 4.2,,Wi-Fi 5,PCIe x1,
BrosTrend AC5,,Wi-Fi 5,USB Type-A 2.0,Black
Asus PCE-AC51,,Wi-Fi 5,PCIe x1,
D-Link DWA-121,11.9,Wi-Fi 4,USB Type-A 2.0,
fenvi FV-AXE3000,,Wi-Fi 6,PCIe x1,Red / Black
fenvi FV-T919,59.99,Wi-Fi 5,PCIe x1,Black / Gold
MSI AX905C,,Wi-Fi 6,PCIe x1,Black
D-Link DWA-131,15.15,Wi-Fi 4,USB Type-A 2.0,
Asus USB-AC51,39.99,Wi-Fi 5,USB Type-A 2.0,
Intel 7260HMWDTX1,63.83,Wi-Fi 5,PCIe x1,
Intel 7260HMWDTX1,,Wi-Fi 5,PCIe x1,
D-Link DWA-582,,Wi-Fi 5,PCIe x1,
fenvi FV-AXE210NG,,Wi-Fi 6E,M.2,
Encore ENUWI-G2,7.99,Wi-Fi 3,USB Type-A 2.0,
fenvi FV-AX3000,,Wi-Fi 6,PCIe x1,Red / Black
Intel AX210,,Wi-Fi 6E,M.2 PCIe,Green
Hawking Technology HW12ACU,12.38,Wi-Fi 5,USB Type-A 2.0,Black
Asus PCE-AC55BT B1,,Wi-Fi 5,PCIe x1,
TP-Link TL-WN722N,,Wi-Fi 4,USB Type-A 2.0,
Intel 62205ANHMWDTX1,99.95,Wi-Fi 4,PCIe x1,
TP-Link TL-WN822N,20.58,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-808UBM,13.49,Wi-Fi 5,USB Type-A 2.0,Black
Asus PCE-AC55BT,,Wi-Fi 5,PCIe x1,
TP-Link Archer T9UH,46.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
TP-Link TL-WN823N,13.64,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-AC600HGUBEv2,12.15,Wi-Fi 5,USB Type-A 2.0,Black
Belkin F9L1103,15.99,Wi-Fi 4,USB Type-A 2.0,
Asus PCE-AC66,,Wi-Fi 5,PCIe x1,
Rosewill RNX-AC1900PCE,53.58,Wi-Fi 5,PCIe x1,
Linksys WUSB6300,44.0,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Ziyituod ZYT-7265,,Wi-Fi 5,PCIe x1,Green
TP-Link TL-WN821N,14.28,Wi-Fi 4,USB Type-A 2.0,
StarTech PEX300WN2X2,21.89,Wi-Fi 4,PCIe x1,
StarTech PEX867WAC22,85.78,Wi-Fi 5,PCIe x1,
D-Link DWA-171,15.0,Wi-Fi 5,USB Type-A 2.0,
Intel 8265.NGWMG.DTX1,,Wi-Fi 5,M.2,
Netgear A6100-100PAS,35.98,Wi-Fi 5,USB Type-A 2.0,
Edimax EW-7811UAC,18.98,Wi-Fi 5,USB Type-A 2.0,
BrosTrend AC3,27.19,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
TP-Link Archer T4U,31.68,Wi-Fi 5,USB Type-A 3.2 Gen 1,
D-Link DWA-140,44.99,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-548,,Wi-Fi 4,PCIe x1,
Asus USB-AC56,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Rosewill RNX-AC1200PCEv2,,Wi-Fi 5,PCIe x1,Green
HP FH971AA,,Wi-Fi 4,PCIe x1,
Edimax EW-7822UTC,19.98,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Asus PCE-N10,,Wi-Fi 4,PCIe x1,
